L4 | Sat Dec 08 22:56:50 2018 (255 ms) | general | New game starting up
L4 | Sat Dec 08 22:56:50 2018 (255 ms) | general | Target game image size:  1280x720

L4 | Sat Dec 08 22:56:50 2018 (256 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Dec 08 22:56:50 2018 (256 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Dec 08 22:56:50 2018 (257 ms) | general | The following frame rates are considered possible:
L4 | Sat Dec 08 22:56:50 2018 (257 ms) | general | 30 fps
L4 | Sat Dec 08 22:56:50 2018 (257 ms) | general | 60 fps
L4 | Sat Dec 08 22:56:50 2018 (257 ms) | general | 120 fps
L4 | Sat Dec 08 22:56:50 2018 (257 ms) | general | 144 fps
L4 | Sat Dec 08 22:56:50 2018 (262 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general | Sticking with user's current screen resolution
L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general | Available video modes:
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1920 x 1080

L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1680 x 1050

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1600 x 900

L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1440 x 900

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1400 x 1050

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1366 x 768

L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1360 x 768

L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 1024

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 960

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 800

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 768

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 720

L4 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1280 x 600

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1152 x 864

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    1024 x 768

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    800 x 600

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    640 x 480

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    640 x 400

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    512 x 384

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    400 x 300

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    320 x 240

L5 | Sat Dec 08 22:56:50 2018 (263 ms) | general |    320 x 200

L4 | Sat Dec 08 22:56:50 2018 (534 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Sat Dec 08 22:56:52 2018 (504 ms) | general | Measured frame rate = 59.055113 fps

L4 | Sat Dec 08 22:56:52 2018 (504 ms) | general | Closest possible frame rate = 60 fps

L4 | Sat Dec 08 22:56:52 2018 (504 ms) | general | Vsync seems to be enforcing an allowed frame rate of 60 fps.

L4 | Sat Dec 08 22:56:52 2018 (508 ms) | general | Recording game into file recordedGames\recordedGame00001.txt
L4 | Sat Dec 08 22:57:24 2018 (7 ms) | general | Received compressed data with SHA1 = F0A2047BF980EC54F7AD22AA9D38F0D55F7CBCE9

L4 | Sat Dec 08 22:57:26 2018 (878 ms) | general | Received compressed data with SHA1 = 1E3327AC080B4AB3B660FEECB5029D529E0CC382

L4 | Sat Dec 08 22:57:32 2018 (118 ms) | general | Received compressed data with SHA1 = 145B45F2CD5E3081E00CBC0028C26BA8A39344E6

L4 | Sat Dec 08 22:57:38 2018 (278 ms) | general | Received compressed data with SHA1 = 1FBEE19164F40CC2C0161111FCF40CFF0A6031AD

L4 | Sat Dec 08 22:57:42 2018 (712 ms) | general | Received compressed data with SHA1 = D59B2F0792A096A9A79FA36D8EF21810DB797D82

